Unnamed: 0,Video recording name,Category,Count
,10.avi,Pedestrians coming in,36
,10.avi,Pedestrians going out,57
,11.avi,Pedestrians coming in,56
,11.avi,Pedestrians going out,21
,12.avi,Pedestrians coming in,25
,12.avi,Pedestrians going out,17
,13.avi,Pedestrians coming in,38
,13.avi,Pedestrians going out,36
,14.avi,Pedestrians coming in,12
,14.avi,Pedestrians going out,19
,15.avi,Pedestrians coming in,49
,15.avi,Pedestrians going out,72
,16.avi,Pedestrians coming in,46
,16.avi,Pedestrians going out,41
,17.avi,Pedestrians coming in,24
,17.avi,Pedestrians going out,15
,18.avi,Pedestrians coming in,26
,18.avi,Pedestrians going out,36
,19.avi,Pedestrians coming in,32
,19.avi,Pedestrians going out,2
,20.avi,Pedestrians coming in,49
,20.avi,Pedestrians going out,79
,21.avi,Pedestrians coming in,70
,21.avi,Pedestrians going out,24
,22.avi,Pedestrians coming in,36
,22.avi,Pedestrians going out,8
,23.avi,Pedestrians coming in,16
,23.avi,Pedestrians going out,27
,24.avi,Pedestrians coming in,4
,24.avi,Pedestrians going out,4
,25.avi,Pedestrians coming in,45
,25.avi,Pedestrians going out,29
,26.avi,Pedestrians coming in,23
,26.avi,Pedestrians going out,15
,27.avi,Pedestrians coming in,31
,27.avi,Pedestrians going out,38
,28.avi,Pedestrians coming in,27
,28.avi,Pedestrians going out,38
,29.avi,Pedestrians coming in,17
,29.avi,Pedestrians going out,24
